Time_sec	X_HCN
954.266	0.000776066
956.266	0.000762876
960.266	0.000744227
962.266	0.000727497
966.266	0.000711917
968.266	0.000698436
972.266	0.000684114
974.266	0.000669551
976.266	0.000657976
980.266	0.000644698
982.266	0.00063272
986.266	0.000620354
988.266	0.000607244
992.266	0.000596103
994.266	0.000587077
996.266	0.000574164
1000.266	0.000565201
1002.266	0.000554628
1006.266	0.000542414
1008.266	0.000532936
1012.266	0.000523244
1014.266	0.000515466
1018.266	0.00050618
1020.266	0.000496661
1024.266	0.000489167
1026.266	0.000480467
1030.266	0.00047115
1032.266	0.000464154
1036.266	0.000458233
1038.266	0.00044823
1042.266	0.000443862
1044.266	0.000435487
1048.266	0.000430452
1050.266	0.000422199
1054.266	0.000414975
1056.266	0.000410434
1058.266	0.000404973
1062.266	0.000399042
1064.266	0.000393635
1068.266	0.000387908
1070.266	0.00038246
1074.266	0.00037834
1076.266	0.00037248
1080.266	0.000366538
1082.266	0.000363993
1086.266	0.00035923
1088.266	0.000354992
1092.266	0.000351827
1094.266	0.000345546
1098.266	0.000342126
1100.266	0.000338865
1104.266	0.000353666
1106.266	0.000351206
1110.266	0.000346822
1112.266	0.000342981
1116.266	0.000339378
1118.266	0.000336023
1122.266	0.000331439
1124.266	0.000328903
1128.266	0.000325757
1130.266	0.000323007
1134.266	0.000320839
1136.266	0.000317972
1140.266	0.000314555
1142.266	0.000312149
1146.266	0.000302737
1150.266	0.000306112
1152.266	0.000298001
1156.266	0.000295417
1158.266	0.00029806
1162.266	0.000290486
1164.266	0.000294126
1168.266	0.000285526
1170.266	0.00028497
1174.266	0.000281832
1176.266	0.000280246
1180.266	0.000277387
1182.266	0.000275326
1186.266	0.000259847
1188.266	0.000256407
1192.266	0.000256124
1194.266	0.000253184
1198.266	0.000253388
1200.266	0.000252723
1204.266	0.000249295
1208.266	0.000247427
1210.266	0.000245424
1214.266	0.000243039
1216.266	0.000241114
